label|disc|genus|model|atkin_lehner
text|integer|smallint|text|integer[]

14.5-[1,35]|14|2|[X[1]^6-3*X[1]^5*X[3]-88*X[1]^4*X[3]^2+181*X[1]^3*X[3]^3-24*X[1]^2*X[3]^4-67*X[1]*X[3]^5+X[2]^2+23*X[3]^6]|[1,35]
14.5-[1,70]|14|2|[3*X[1]^6+16*X[1]^5*X[3]+10*X[1]^4*X[3]^2+X[1]^3*X[2]-41*X[1]^3*X[3]^3+10*X[1]^2*X[3]^4+16*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+3*X[3]^6]|[1,70]
14.5-[1,7]|14|2|[5*X[1]^6+3*X[1]^5*X[3]+12*X[1]^4*X[3]^2-37*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]-3*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-42*X[1]*X[3]^5+X[2]^2+92*X[3]^6]|[1,7]
14.5-[1]|14|3|[-23*X[1]^8-180*X[1]^7-358*X[1]^6-168*X[1]^5-677*X[1]^4+168*X[1]^3-358*X[1]^2+180*X[1]-X[2]^2-23]|[1]
146.1-[1,146]|146|0|[X[2]^2-X[1]*X[3]]|[1,146]
146.1-[1,73]|146|3|[X[1]^8-X[1]^7*X[3]+X[1]^6*X[3]^2-5*X[1]^5*X[3]^3+X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]-5*X[1]^3*X[3]^5+11*X[1]^2*X[3]^6+X[1]*X[2]*X[3]^3+3*X[1]*X[3]^7+X[2]^2+11*X[3]^8]|[1,73]
146.1-[1,2]|146|4|[5*X[1]^10-X[1]^9*X[3]+4*X[1]^8*X[3]^2-26*X[1]^7*X[3]^3-14*X[1]^6*X[3]^4-43*X[1]^5*X[3]^5+X[1]^4*X[2]*X[3]+36*X[1]^4*X[3]^6+38*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3+110*X[1]^2*X[3]^8+56*X[1]*X[3]^9+X[2]^2+44*X[3]^10]|[1,2]
146.1-[1]|146|7|[-11*X[1]^16+82*X[1]^15-221*X[1]^14+214*X[1]^13+133*X[1]^12-360*X[1]^11-170*X[1]^10+676*X[1]^9-150*X[1]^8-676*X[1]^7-170*X[1]^6+360*X[1]^5+133*X[1]^4-214*X[1]^3-221*X[1]^2-82*X[1]-X[2]^2-11]|[1]
15.2-[1,15]|15|0|[-X[2]^2+X[1]*X[3]]|[1,15]
15.2-[1,10]|15|1|[X[2]^2-X[1]*X[3],3*X[1]^2+34*X[2]^2+75*X[3]^2+X[4]^2]|[1,10]
15.2-[1,30]|15|1|[X[2]^2-X[1]*X[3],3*X[1]^2-14*X[2]^2-5*X[3]^2+X[4]^2]|[1,30]
15.2-[1,3]|15|1|[-X[1]^3+X[1]*X[2]*X[3]+X[2]^2*X[3]+14*X[1]*X[3]^2+X[2]*X[3]^2+64*X[3]^3]|[1,3]
15.2-[1,2]|15|2|[2*X[1]^6+8*X[1]^5*X[3]+9*X[1]^4*X[3]^2+X[1]^3*X[2]+3*X[1]^3*X[3]^3+9*X[1]^2*X[3]^4+8*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+2*X[3]^6]|[1,2]
15.2-[1,5]|15|2|[3*X[1]^5*X[3]-5*X[1]^4*X[3]^2+X[1]^3*X[3]^3+37*X[1]^2*X[3]^4-24*X[1]*X[3]^5+X[2]^2-12*X[3]^6]|[1,5]
15.2-[1,6]|15|2|[3*X[1]^6+9*X[1]^5*X[3]+26*X[1]^4*X[3]^2+37*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+47*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2+30*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+16*X[3]^6]|[1,6]
15.2-[1]|15|3|[-3*X[1]^8-10*X[1]^6-11*X[1]^4-40*X[1]^2-X[2]^2-48]|[1]
159.1-[1,159]|159|0|[X[2]^2-X[1]*X[3]]|[1,159]
159.1-[1,3]|159|4|[X[1]^10+2*X[1]^9*X[3]+6*X[1]^8*X[3]^2-27*X[1]^7*X[3]^3-31*X[1]^6*X[3]^4+X[1]^5*X[2]+113*X[1]^5*X[3]^5+X[1]^4*X[2]*X[3]+19*X[1]^4*X[3]^6-141*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3+38*X[1]^2*X[3]^8+X[1]*X[2]*X[3]^4+26*X[1]*X[3]^9+X[2]^2+X[2]*X[3]^5+X[3]^10]|[1,3]
